id	label	longitud	latitud	abundance
514	Tinamus major	-83.3366	8.4037	1
515	Tinamus major	-83.3366	8.4037	1
516	Tinamus major	-83.3366	8.4037	1
517	Tinamus major	-83.3366	8.4037	1
518	Tinamus major	-83.3366	8.4037	1
519	Tinamus major	-83.3366	8.4037	1
520	Tinamus major	-83.3366	8.4037	1
521	Tinamus major	-83.3367	8.404	1
522	Tinamus major	-83.3367	8.404	1
523	Tinamus major	-83.3336	8.40526	1
524	Tinamus major	-83.3336	8.40526	1
525	Tinamus major	-83.3162	8.40989	1
526	Tinamus major	-83.3162	8.40989	1
527	Tinamus major	-83.3199	8.41118	1
528	Tinamus major	-83.3199	8.41118	1
529	Tinamus major	-83.3199	8.41118	1
530	Tinamus major	-83.2884	8.41328	1
531	Tinamus major	-83.2884	8.41328	1
532	Tinamus major	-83.2839	8.41413	1
533	Tinamus major	-83.4166	8.43145	1
534	Tinamus major	-83.4899	8.4486	1
535	Tinamus major	-83.4627	8.45976	1
536	Tinamus major	-83.4611	8.46073	1
537	Tinamus major	-83.4782	8.47101	1
538	Tinamus major	-83.5893	8.48025	1
539	Tinamus major	-83.5893	8.48025	1
540	Tinamus major	-83.5893	8.48025	1
541	Tinamus major	-83.5893	8.48025	1
542	Tinamus major	-83.5893	8.48025	1
543	Tinamus major	-83.5893	8.48025	1
544	Tinamus major	-83.5893	8.48025	1
545	Tinamus major	-83.5893	8.48025	1
546	Tinamus major	-83.5893	8.48025	1
547	Tinamus major	-83.5893	8.48025	1
548	Tinamus major	-83.5893	8.48025	1
549	Tinamus major	-83.5893	8.48025	1
550	Tinamus major	-83.5428	8.50769	1
551	Tinamus major	-83.5428	8.50769	1
552	Tinamus major	-83.3999	8.52111	1
553	Tinamus major	-83.3999	8.52111	1
554	Tinamus major	-83.4001	8.52164	1
555	Tinamus major	-83.4001	8.52164	1
556	Tinamus major	-83.4001	8.52164	1
557	Tinamus major	-83.4054	8.52294	1
558	Tinamus major	-83.304	8.53905	1
559	Tinamus major	-83.304	8.53905	1
560	Tinamus major	-83.304	8.53905	1
561	Tinamus major	-83.304	8.53905	1
562	Tinamus major	-83.304	8.53905	1
563	Tinamus major	-83.304	8.53905	1
564	Tinamus major	-83.304	8.53905	1
565	Tinamus major	-83.304	8.53905	1
566	Tinamus major	-83.304	8.53905	1
567	Tinamus major	-83.304	8.53905	1
568	Tinamus major	-83.304	8.53905	1
569	Tinamus major	-83.3021	8.54008	1
570	Tinamus major	-83.3021	8.54008	1
571	Tinamus major	-83.3931	8.55574	1
572	Tinamus major	-83.527	8.56235	1
573	Tinamus major	-83.5133	8.57661	1
574	Tinamus major	-83.6925	8.57695	1
575	Tinamus major	-83.1864	8.61512	1
576	Tinamus major	-83.1426	8.61607	1
577	Tinamus major	-83.735	8.62074	1
578	Tinamus major	-83.735	8.62074	1
579	Tinamus major	-83.7349	8.62076	1
580	Tinamus major	-83.7252	8.63171	1
581	Tinamus major	-83.7252	8.63171	1
582	Tinamus major	-83.7252	8.63171	1
583	Tinamus major	-83.7252	8.63171	1
584	Tinamus major	-83.7193	8.64348	1
585	Tinamus major	-83.1865	8.64521	1
586	Tinamus major	-83.231	8.6462	1
587	Tinamus major	-83.231	8.6462	1
588	Tinamus major	-83.2012	8.67283	1
589	Tinamus major	-83.2012	8.67283	1
590	Tinamus major	-83.1791	8.67705	1
591	Tinamus major	-83.5094	8.67776	1
592	Tinamus major	-83.5094	8.67776	1
593	Tinamus major	-83.7044	8.68523	1
594	Tinamus major	-83.7044	8.68523	1
595	Tinamus major	-83.7044	8.68523	1
596	Tinamus major	-83.3286	8.68964	1
597	Tinamus major	-83.2051	8.69721	1
598	Tinamus major	-83.1841	8.70864	1
599	Tinamus major	-83.6395	8.71883	1
600	Tinamus major	-83.4695	8.73164	1
601	Tinamus major	-83.5993	8.77012	1
602	Tinamus major	-83.6001	8.77025	1
603	Tinamus major	-83.6011	8.77358	1
604	Tinamus major	-82.9869	8.78389	1
605	Tinamus major	-82.9869	8.78389	1
606	Tinamus major	-82.9609	8.78584	1
607	Tinamus major	-82.9609	8.78584	1
608	Tinamus major	-82.9609	8.78584	1
609	Tinamus major	-82.9609	8.78584	1
610	Tinamus major	-82.9609	8.78584	1
611	Tinamus major	-82.9609	8.78584	1
612	Tinamus major	-82.9609	8.78584	1
613	Tinamus major	-82.9609	8.78584	1
614	Tinamus major	-82.9609	8.78584	1
615	Tinamus major	-82.9609	8.78584	1
616	Tinamus major	-82.9609	8.78584	1
617	Tinamus major	-82.9609	8.78584	1
618	Tinamus major	-82.9609	8.78584	1
619	Tinamus major	-82.9609	8.78584	1
620	Tinamus major	-82.9609	8.78584	1
621	Tinamus major	-82.9609	8.78584	1
622	Tinamus major	-82.9609	8.78584	1
623	Tinamus major	-82.9609	8.78584	1
624	Tinamus major	-82.9609	8.78584	1
625	Tinamus major	-82.9609	8.78584	1
626	Tinamus major	-82.9609	8.78584	1
627	Tinamus major	-82.9675	8.78694	1
628	Tinamus major	-82.9607	8.78788	1
629	Tinamus major	-82.9607	8.78788	1
630	Tinamus major	-82.9607	8.78788	1
631	Tinamus major	-82.9727	8.78974	1
632	Tinamus major	-82.9727	8.78974	1
633	Tinamus major	-82.9727	8.78974	1
634	Tinamus major	-82.9727	8.78974	1
635	Tinamus major	-82.9727	8.78974	1
636	Tinamus major	-82.9727	8.78974	1
